year,title,url,source
2023,4D-Former: Multimodal 4D Panoptic Segmentation,https://arxiv.org/pdf/2311.01520.pdf,ARXIV
2023,4D-Former: Multimodal 4D Panoptic Segmentation,https://proceedings.mlr.press/v229/athar23a/athar23a.pdf,BIBLIOTHEQUE
2017,Attention Is All You Need,https://arxiv.org/pdf/1706.03762.pdf,ARXIV
2017,Attention Is All You Need,https://papers.neurips.cc/paper/7181-attention-is-all-you-need.pdf,BIBLIOTHEQUE
2024,Combining Induction and Transduction for Abstract Reasoning,https://arxiv.org/pdf/2411.02272.pdf,ARXIV
2024,Combining Induction and Transduction for Abstract Reasoning,https://www.cs.cornell.edu/~ellisk/documents/arc_induction_vs_transduction.pdf,BIBLIOTHEQUE
2024,DeLiVoTr: Deep and Light-weight Voxel Transformer for 3D Object Detection,https://www.sciencedirect.com/science/article/pii/S2667305324000371,ARXIV
2024,DeLiVoTr: Deep and Light-weight Voxel Transformer for 3D Object Detection,https://www.sciencedirect.com/science/article/pii/S2667305324000371/pdf,BIBLIOTHEQUE
2016,DeepCoder: Learning to Write Programs,https://arxiv.org/pdf/1611.01989.pdf,ARXIV
2017,DeepCoder: Learning to Write Programs,https://openreview.net/pdf?id=ByldLrqlx,BIBLIOTHEQUE
1963,Deterministic Nonperiodic Flow,https://journals.ametsoc.org/downloadpdf/view/journals/atsc/20/2/1520-0469_1963_020_0130_dnf_2_0_co_2.pdf,ARXIV
1963,Deterministic Nonperiodic Flow,https://journals.ametsoc.org/downloadpdf/journals/atsc/20/2/1520-0469_1963_020_0130_dnf_2_0_co_2.xml,BIBLIOTHEQUE
2014,Deterministic Policy Gradient Algorithms,https://proceedings.mlr.press/v32/silver14.pdf,ARXIV
2014,Deterministic Policy Gradient Algorithms,https://proceedings.mlr.press/v32/silver14.pdf,BIBLIOTHEQUE
2019,Differentiable Convex Optimization Layers,https://arxiv.org/pdf/1910.12430.pdf,ARXIV
2019,Differentiable Convex Optimization Layers,https://openreview.net/pdf?id=1EuxRTe0WN,BIBLIOTHEQUE
2019,Dream to Control: Learning Behaviors by Latent Imagination (Dreamer),https://openreview.net/attachment?id=S1lOTC4tDS&name=original_pdf,ARXIV
2019,Dream to Control: Learning Behaviors by Latent Imagination (Dreamer),https://openreview.net/pdf?id=S1lOTC4tDS,BIBLIOTHEQUE
2025,Efficiently Allocating Test-Time Compute for LLM Agents,https://arxiv.org/pdf/2509.03581.pdf,ARXIV
2025,Efficiently Allocating Test-Time Compute for LLM Agents,https://arxiv.org/pdf/2509.03581.pdf,BIBLIOTHEQUE
2025,Graph Perceiver IO,https://www.sciencedirect.com/science/article/abs/pii/S0031320325005497,ARXIV
2025,Graph Perceiver IO,https://www.sciencedirect.com/science/article/pii/S0031320325005497/pdf,BIBLIOTHEQUE
2018,"HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering",https://arxiv.org/pdf/1809.09600.pdf,ARXIV
2018,"HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering",https://aclanthology.org/D18-1259.pdf,BIBLIOTHEQUE
2018,ListOps: A Diagnostic Dataset for Latent Tree Learning,https://arxiv.org/pdf/1804.06028.pdf,ARXIV
2018,ListOps: A Diagnostic Dataset for Latent Tree Learning,https://aclanthology.org/N18-4013.pdf,BIBLIOTHEQUE
2024,Mesa-Extrapolation: A Weave Position Encoding Method for Enhanced Extrapolation in LLMs,https://arxiv.org/pdf/2410.15859.pdf,ARXIV
2024,Mesa-Extrapolation: A Weave Position Encoding Method for Enhanced Extrapolation in LLMs,https://proceedings.neurips.cc/paper_files/paper/2024/file/9446c291a8744a125a0bda5b18f4d5a1-Paper-Conference.pdf,BIBLIOTHEQUE
2018,Recurrent Relational Networks (RRN),https://arxiv.org/pdf/1711.08028.pdf,ARXIV
2018,Recurrent Relational Networks (RRN),https://proceedings.neurips.cc/paper_files/paper/2018/file/b9f94c77652c9a76fc8a442748cd54bd-Paper.pdf,BIBLIOTHEQUE
2024,Resonance RoPE: Improving Context Length Generalization of Large Language Models,https://arxiv.org/pdf/2403.00071.pdf,ARXIV
2024,Resonance RoPE: Improving Context Length Generalization of Large Language Models,https://aclanthology.org/2024.findings-acl.32.pdf,BIBLIOTHEQUE
2020,Rethinking Positional Encoding in Language Pre-training (TUPE),https://arxiv.org/pdf/2006.15595.pdf,ARXIV
2020,Rethinking Positional Encoding in Language Pre-training (TUPE),https://openreview.net/pdf?id=09-528y2Fgf,BIBLIOTHEQUE
2020,Scaling Laws for Neural Language Models,https://arxiv.org/pdf/2001.08361.pdf,ARXIV
2020,Scaling Laws for Neural Language Models,/home/jake/Developer/timeline/BIBLIOTHEQUE/26_Scaling_Laws_for_Neural_Language_Models.pdf,BIBLIOTHEQUE
2024,Searching Latent Program Spaces,https://arxiv.org/pdf/2411.08706.pdf,ARXIV
2024,Searching Latent Program Spaces,https://raw.githubusercontent.com/clement-bonnet/lpn/7f86b1d11ea37ba173700dbac8604393eac6da37/paper.pdf,BIBLIOTHEQUE
2024,Towards Efficient Neurally-Guided Program Induction for ARC-AGI,https://arxiv.org/pdf/2411.17708.pdf,ARXIV
2024,Towards Efficient Neurally-Guided Program Induction for ARC-AGI,https://drive.google.com/uc?export=download&id=1sFlK3mhz8kH2agdE379o0ODQWYkrSD0b,BIBLIOTHEQUE
2019,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,https://arxiv.org/pdf/1901.02860.pdf,ARXIV
2019,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,https://aclanthology.org/P19-1285.pdf,BIBLIOTHEQUE
2025,Vector Symbolic Algebras for the Abstraction and Reasoning Corpus,https://arxiv.org/pdf/2511.08747.pdf,ARXIV
2025,Vector Symbolic Algebras for the Abstraction and Reasoning Corpus,https://raw.githubusercontent.com/ijoffe/ARC-VSA-2025/main/paper/paper.pdf,BIBLIOTHEQUE
